"","lookup","code","description"
"1","altitude_range",NA,"0-500 m"
"2","altitude_range",NA,"1000-2000 m"
"3","altitude_range",NA,"> 2000 m"
"4","altitude_range",NA,"500-1000 m"
"5","altitude_range",NA,"not reported"
"6","analytical_method",NA,"%Vm - percentage volume of remains in each food category (total sum is =100)"
"7","analytical_method",NA,"Relative read abundance"
"8","analytical_method",NA,"%FO (stomach)"
"9","analytical_method",NA,"%FO (carcass)"
"10","analytical_method",NA,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)"
"11","analytical_method",NA,"%FO (mix)"
"12","analytical_method",NA,"%Bio - Biomass ingested"
"13","analytical_method",NA,"%FO (item) - frequency of occurrence per food item (total sum is =100)"
"14","analytical_method",NA,"%Vm (scat)"
"15","identification_method",NA,"identification through visual analysis"
"16","identification_method",NA,"identification through genetic analysis"
"17","identification_method",NA,"identification using stable isotopes"
"18","source",NA,"not specified"
"19","source",NA,"stomach"
"20","source",NA,"excrement"
"21","source",NA,"carcass"
"22","source",NA,"mix"
"23","temporal_scale",NA,"spring"
"24","temporal_scale",NA,"summer"
"25","temporal_scale",NA,"winter"
"26","temporal_scale",NA,"monsoon"
"27","temporal_scale",NA,"cold season"
"28","temporal_scale",NA,"warm season"
"29","temporal_scale",NA,"autumn"
"30","temporal_scale",NA,"year"
"31","type_study",NA,"Book"
"32","type_study",NA,"Congress proceedings"
"33","type_study",NA,"PhD thesis"
"34","type_study",NA,"Technical Report"
"35","type_study",NA,"Oral Communication"
"36","type_study",NA,"MSc thesis"
"37","type_study",NA,"Scientific article"
"38","type_study",NA,"Poster Congress"
"39","wolf_population",NA,"Asia"
"40","wolf_population",NA,"Karelian (FIN)"
"41","wolf_population",NA,"Carpathians (ROU; SVK; POL; CZE; HUN)"
"42","wolf_population",NA,"Alpine (FRA; ITA; CHE; AUT)"
"43","wolf_population",NA,"Central European Lowlands (DEU; POL)"
"44","wolf_population",NA,"Sierra Morena (ESP)"
"45","wolf_population",NA,"Baltic (EST; LVA; POL; LTU)"
"46","wolf_population",NA,"Scandinavian (SWE; NOR)"
"47","wolf_population",NA,"NW Iberia (ESP; PRT)"
"48","wolf_population",NA,"Dinaric-Balkan (BGR; BIH; MKD; HRV; SVN; ALB; GRC; SRB)"
"49","wolf_population",NA,"Italian Peninsula (ITA)"
"50","wolf_population",NA,"America"
"51","wolf_subspecies",NA,"Canis lupus signatus"
"52","wolf_subspecies",NA,"Canis lupus pallipes"
"53","wolf_subspecies",NA,"Canis lupus italicus"
"54","wolf_subspecies",NA,"Canis lupus lupus"
"55","wolf_subspecies",NA,"Canis lupus filchneri"
