"","diet_analysis_id","world_country_description","wolf_population_description","wolf_subspecies_description","study_area","pack","latitude","longitude","source_id","analytical_method_description","identification_method_description","temporal_scale_description","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird","castor.sp","cervidae","domestic.ungulata","fish","garbage","lagomorpha","marmota.sp","mesomammals","micromammals","microrodents","other","other.domestic.ungulata","semiaquatic.rodentia","undefined.item","vegetable.fruit"
"1",1,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)","identification through visual analysis","year",NA,2063,1000,"1992-2005",16,2.063,128.9375,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,7.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,7.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,7.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,2063,1000,"1992-2005",16,2.063,128.9375,NA,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,10.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,8.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,5.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Sweden","Scandinavian (SWE; NOR)","Canis lupus lupus","Sweden",NA,61,13,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Finland","Karelian (FIN)","Canis lupus lupus","Kainuu",NA,64.25,29.5,1,"%Bio - Biomass ingested",NA,"year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,44.3,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
