"","diet_analysis_id","world_country_description","wolf_population_code","wolf_subspecies_code","study_area","pack","latitude","longitude","source_code","analytical_method_code","identification_method_code","temporal_scale_code","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","responsible","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird_aves","castor.sp_castor.sp","cervidae_cervidae","domestic.ungulata_domestic.ungulata","fish_fish","garbage_garbage","lagomorpha_lagomorpha","marmota.sp_marmota.sp","mesomammals_mesomammals","micromammals_micromammals","microrodents_microrodents","other_other","other.domestic.ungulata_other.domestic.ungulata","semiaquatic.rodentia_semiaquatic.rodentia","undefined.item_undefined.item","vegetable.fruit_vegetable.fruit"
"1",1,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (item)","visual","year",NA,2063,1000,"1992-2005",16,2.063,128.9375,NA,"Andrea Gazzola",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,7.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.8,9.7,NA,NA,NA,1.5,NA,NA,NA,2.7,1.9,0.6,NA,NA,6
"2",2,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (item)","visual","warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,"Andrea Gazzola",53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,7.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.7,8.8,NA,NA,NA,1.8,NA,NA,NA,3.4,3.7,1.3,NA,NA,8.7
"3",3,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (item)","visual","cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,"Andrea Gazzola",68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,7.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,1.9,10.1,NA,NA,NA,1.3,NA,NA,NA,2.2,2.8,0.1,NA,NA,1.6
"4",4,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (scat)","visual","year",NA,2063,1000,"1992-2005",16,2.063,128.9375,NA,"Andrea Gazzola",75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,3.4,11.8,NA,NA,NA,1.9,NA,NA,NA,3.2,2.2,0.7,NA,NA,7.3
"5",5,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (scat)","visual","warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,"Andrea Gazzola",72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,10.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,5,11.8,NA,NA,NA,2.4,NA,NA,NA,4.5,5,1.8,NA,NA,11.7
"6",6,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%FO (scat)","visual","cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,"Andrea Gazzola",78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,8.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2.2,11.6,NA,NA,NA,1.5,NA,NA,NA,2.5,0.5,0.1,NA,NA,4.5
"7",7,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%Vm","visual","warm season",NA,794,1000,"1992-2005",16,0.794,49.625,NA,"Andrea Gazzola",88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,5.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.3,NA,NA,NA,NA,0.6,NA,NA,NA,0.7,NA,0.9,NA,NA,0
"8",8,"Sweden","scandinavian","Canis lupus lupus","Sweden",NA,61,13,"excrement","%Vm","visual","cold season",NA,1238,1000,"1992-2005",16,1.238,77.375,NA,"Andrea Gazzola",95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6,NA,NA,NA,NA,0.3,NA,NA,NA,0.2,NA,0,NA,NA,0
"9",9,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%FO (item)","visual","year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,"Andrea Gazzola",44.1,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA,NA,NA,NA,NA,2.2,NA,NA,2.9,0.7,NA,NA,NA,NA,3.7,NA,NA,NA,3.7,4.4,0,NA,1.5,1.5
"10",10,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%Bio","visual","year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,"Andrea Gazzola",44.3,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,3.3,NA,NA,2.3,1,NA,NA,NA,NA,2.6,NA,NA,NA,1.3,2.8,0,NA,1.4,1.6
"11",11,"Finland","karelian","Canis lupus lupus","Kainuu",NA,64.25,29.5,"excrement","%Vm","visual","year",NA,120,3300,"Apr1998-Aug1999",1,0.0363636363636364,120,NA,"Andrea Gazzola",74.1,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,0.7,NA,NA,0,0.2,NA,NA,NA,NA,0.7,NA,NA,NA,0,1.7,0,NA,NA,0
